system_id,sent_date__c,content_name__c,journey_content__r_a_b_test__c,type__c,card_no__c,card_type__c,status__c,arrival_station__c,departure_station__c,pnr_number,utm_content__c,birthday_event_date
JH-0001598355,2021-10-14T23:20:10.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB0869130,DYNA,,,,,,
JH-0001598353,2021-10-14T15:20:29.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WB4163433,DYNA,Success,,,,,
JH-0001598348,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF2629451,DYNA,,,,,,
JH-0001598349,2021-10-14T04:27:26.000Z,[NFP]未完成購票 EDM-A - GA test only - rvsd3,A,APP,WF3897167,DYNA,,,,,,
JH-0001829342,2021-10-30T04:30:26.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,CT5849313,GOLD,Success,,,,,
JH-0001598343,2021-10-13T05:55:32.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WB3007563,DYNA,Delivered,,,,,
JH-0001598354,2021-10-14T15:20:33.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WD9677867,DYNA,Success,,,,,
JH-0001598356,2021-10-14T23:20:12.000Z,ANC Chargeable Seat APP Push B(ZH),B,APP,WB0869130,DYNA,,,,,,
JH-0001598370,2021-10-17T00:46:04.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WF3936543,DYNA,Delivered,,,,,
JH-0001598363,2021-10-15T22:40:29.000Z,ANC Chargeable Seat APP Push A(ZH),A,APP,WE1243585,GOLD,Success,,,,,
JH-0001598377,2021-10-17T09:01:16.000Z,ANC Chargeable Seat SMS B(ZH),B,SMS,WA7622561,DYNA,Delivered,,,,,
JH-0001829361,2021-11-01T08:15:16.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WB5247314,DYNA,,,,,,
JH-0001598369,2021-10-17T00:00:51.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,WA2477766,GOLD,Delivered,,,,,
